Country,Temperature,CountryCode,GDP,years_2020_2039,years_2040_2059,years_2080_2099
Afghanistan,16.533625,AFG,14786861638,-2.53100458,-2.753576501,-0.637083454
Albania,14.993875,ALB,18255787479,-4.546592047,-8.933329745,-10.22268966
Algeria,25.1215,DZA,1.63044E+11,1.721634933,4.295484692,10.07618001
American Samoa,27.51725,ASM,709000000,-3.353836676,-5.18469835,-5.832106271
Andorra,12.307875,AND,3330281524,-18.73241337,-46.15353286,-90.66571505
Angola,22.507875,AGO,67404287260,-2.781905264,-4.152195112,-6.061455926
Antigua And Barbuda,27.249625,ATG,1471125926,0.89669262,1.42376036,4.529017068
Argentina,14.457125,ARG,4.87227E+11,-0.808333979,1.63142048,7.264792505
Armenia,11.34375,ARM,13861409969,-11.24769385,-24.6608249,-42.32975459
Aruba,28.54125,ABW,3126019399,4.589684038,4.605087413,3.668278424
Australia,22.142875,AUS,1.55267E+12,7.684672462,20.39423975,49.92654004
Austria,8.055125,AUT,4.80368E+11,-28.46167963,-72.37791394,-130.5818604
Azerbaijan,14.173875,AZE,54622176471,1.207228437,1.845408396,2.380251096
Bahamas,26.01166667,BHS,11208600000,0.560112483,5.440237609,14.73242159
Bahrain,27.925375,BHR,38868663032,8.277203759,22.28999593,39.79167171
Bangladesh,25.9675,BGD,4.16265E+11,10.19649952,19.53404564,40.22416267
Barbados,27.251125,BRB,4843800000,-0.267852437,-0.096952362,1.820998194
Belarus,8.2665,BLR,68205380707,-22.82079325,-51.41855416,-74.10487921
Belgium,10.060125,BEL,5.94104E+11,-15.56211678,-35.83903379,-57.90640218
Belize,26.21333333,BLZ,2491500000,-0.157646609,0.795089898,3.083730555
Benin,28.160625,BEN,17144918952,10.36851322,23.85797013,55.81269146
Bhutan,13.331375,BTN,2539552985,-4.488742534,-11.44530776,-19.92743783
Bolivia,20.640875,BOL,40408208528,-5.510117616,-9.694328527,-15.75618888
Bosnia And Herzegovina,12.8795,BIH,23365361635,-14.02546524,-33.86910421,-43.6465103
Botswana,21.82575,BWA,17614791266,1.34039382,6.028426386,13.77006792
Brazil,25.348125,BRA,1.60898E+12,-1.84781437,-1.183759361,5.391094573
British Virgin Islands,27.31233333,VGB,0,#N/A,#N/A,#N/A
Bulgaria,13.411875,BGR,84056312734,-7.942869715,-17.31186231,-23.66535904
Burkina Faso,29.3855,BFA,19737615114,26.92940495,55.24648344,116.5743327
Burundi,20.86275,BDI,2779813489,-13.15308535,-27.0762236,-54.72841101
Cambodia,28.259625,KHM,26961061120,8.152035958,10.7607776,14.98753349
Cameroon,25.307625,CMR,45338283345,3.869194054,8.78002388,18.81650726
Canada,-1.640666667,CAN,1.98834E+12,-35.77616242,-94.03083981,-194.407898
Cayman Islands,27.55822222,CYM,5898449688,2.254729792,5.177871647,8.675927914
Central African Republic,26.210875,CAF,2516498299,6.092455299,15.69452818,36.14167496
Chad,28.356,TCD,11779980802,23.05085961,47.10766579,107.9849684
Chile,9.877375,CHL,3.17059E+11,-5.715389584,-9.300134246,-8.281169333
China,9.295,CHN,1.77341E+13,-2.424071365,-5.832791298,-7.501785991
Colombia,25.5795,COL,3.14464E+11,-3.24380232,-5.048210243,-3.312909693
Comoros,26.542875,COM,1296089633,1.003792756,1.833341913,1.755532402
Congo,25.139375,COD,55350968593,0.379019619,1.51281931,3.567319692
Costa Rica,26.45755556,CRI,64282438667,-1.784980275,-2.624855557,0.462963424
Croatia,13.589,HRV,68955083280,-9.045187119,-20.92149382,-23.22230891
Cuba,26.25044444,CUB,0,-1.416444726,0.326227062,5.470100436
CuraCao,28.1205,CUW,2699612458,#N/A,#N/A,#N/A
Cyprus,20.349875,CYP,28407867534,4.73788814,12.49268404,23.64483986
Czech Republic,9.281,CZE,2.81778E+11,#N/A,#N/A,#N/A
Denmark,-14.92725,DNK,3.98303E+11,-24.14416308,-53.02101131,-99.01546041
Djibouti,30.74475,DJI,3482987379,23.27700331,60.2933632,122.4296864
Dominica,26.922125,DMA,554181481.5,-1.46676958,-3.955872855,-4.115866013
Dominican Republic,26.29033333,DOM,94243453937,-0.077945593,0.336156728,2.68367088
Ecuador,22.264125,ECU,1.06166E+11,-2.310053647,-3.920065852,-4.116061627
Egypt,24.50525,EGY,4.04143E+11,6.594080934,12.44668433,19.82872142
El Salvador,25.91077778,SLV,28736940000,-2.469371719,-3.728315768,-4.955332778
Equatorial Guinea,25.5905,GNQ,12269392840,0.364003615,2.501320493,8.012896911
Eritrea,28.5035,ERI,0,0.109293937,1.427646907,5.093481862
Estonia,6.96175,EST,37191166152,-32.56376778,-76.93884448,-157.0259008
Ethiopia,24.6315,ETH,1.11271E+11,-8.062869171,-16.89053334,-33.40042961
Faroe Islands,7.076625,FRO,3649886275,-9.372537255,-22.88097418,-47.92180808
Fiji,25.941375,FJI,4296304590,-2.365209584,-2.761506072,-3.355599156
Finland,4.064125,FIN,2.97302E+11,-67.34747341,-138.6990673,-270.7146455
France,11.19575,FRA,2.95788E+12,-9.750340336,-21.47109326,-27.58430022
France,13.584625,FRA,2.95788E+12,-9.750340336,-21.47109326,-27.58430022
French Polynesia,26.907875,PYF,6054676735,-0.229680007,1.54107246,7.092356649
Gabon,24.8385,GAB,20216843174,0.159003338,1.16287969,2.900447139
Georgia,10.686625,GEO,18629365597,-7.955926261,-15.66325926,-19.75767447
